match_key,career_match_index,career_stage,season,season_match_number,season_stage,date,day_of_week,week_of_season,days_since_last_match,is_back_to_back,match_density_3days,match_no,total_matches_that_day,multi_game_day,first_match_of_day,last_match_of_day,same_day_opponent_seq,opponent,opponent_slug,season_opponent_seq,is_repeat_opponent,rivalry,deaf_school,match_type,game_importance,game_importance_score,event_name,milestone_flag,set_scores,set_count,set_result,set_diff,result,location,forfeited,injured,sick,comeback_win,revenge_match,redemption_game,highlight_match,birthday_match,is_conference,is_playoffs,is_tournament,is_championship,total_points_for,total_points_against,margin_pct,high_margin_win,low_margin_loss,did_play,played_all_sets,favorite_match,stats_available,personal_performance_score,personal_performance_score_norm100,personal_performance_score_norm01,personal_performance_per_set,personal_performance_per_set_norm100,personal_performance_per_set_norm01,season_avg_performance_score,season_avg_performance_score_norm100,season_avg_performance_score_norm01,personal_performance_percentile,personal_performance_percentile_norm01,performance_brilliance_score,performance_brilliance_score_norm100,performance_brilliance_score_norm01,performance_label,fan_excitement,game_rating,clutch_factor,clutch_performance_flag,below_avg_performance,form_trend_label,efficiency_score,offensive_focus_score,defensive_impact_score,zero_stat_match,season_highs_flags,career_highs_flags,record_breaker_flag,best_performance_of_season,best_match_of_season,heartbreaker,dominant_sweep,momentum_swing,deciding_set_win,deciding_set_loss,bounceback_win,opponent_strength_tier,upset_victory,predictable_match,team_needed_win,energy_boost_game,confidence_boost_game,high_impact_win,offense_dominant_match,defense_dominant_match,balanced_match,low_error_game,win_streak,loss_streak,prev_result,prev_percentile,prev_win_streak,prev_loss_streak,was_set_swept,swept_opponent,deciding_set_played,sets_played,kills_attacking,kills_per_set_attacking,kill_pct_attacking,kill_att_attacking,kill_err_attacking,hit_pct_attacking,assists_ball_handling,assists_per_set_ball_handling,ball_handling_att_ball_handling,ball_handling_err_ball_handling,solo_blks_blocking,assisted_blks_blocking,total_blks_blocking,blks_per_set_blocking,blk_err_blocking,digs_digging,dig_err_digging,digs_per_set_digging,receiving_serve_receiving,receiving_err_serve_receiving,receiving_per_set_serve_receiving,aces_serving,aces_per_set_serving,ace_pct_serving,serve_att_serving,serve_err_serving,serve_pct_serving,points_serving,maxpreps
FR_09-24_WILSON_4,10.0,early,FR,9,early,2016-09-24,Saturday,4,0,False,6,4,5,True,False,False,1,Woodrow Wilson,WILSON,1,False,False,False,regular,low,0,Model Invitational 2016,,"12-25,23-25",2,0-2,-2,L,home,False,False,False,False,False,False,False,False,False,False,True,False,50,35,0.176,False,True,True,True,False,True,658.8,56.1,0.561,329.4,51.2,0.512,462.32,0.0,0.0,85.3,0.853,5,62.5,0.625,SOLID,0.6,1.42,0.0,False,False,UP,94.11,1.0,3.0,False,points_serving,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,False,False,False,0,1,W,69.118,1.0,0.0,True,False,False,2.0,4.0,2.0,25.0,16.0,6.0,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,1.0,50.0,4.0,0.0,100.0,0.0,https://www.maxpreps.com/games/09-24-2016/volleyball-16/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=N6-HRS3cNkOz2AJD_0rVbw#tab=box-score&schoolid=
FR_09-24_SIDWELL_5,11.0,early,FR,8,early,2016-09-24,Saturday,4,2,False,6,5,5,True,False,True,2,Sidwell Friends,SIDWELL,2,True,False,False,regular,low,0,Model Invitational 2016,,"17-25,25-23,15-9",3,2-1,1,W,home,False,False,False,True,False,False,False,False,False,False,True,False,57,57,0.0,False,False,True,True,False,True,448.6,34.4,0.344,149.53,19.5,0.195,462.32,0.0,0.0,50.0,0.5,3,37.5,0.375,QUIET,2.6,0.97,0.0,False,True,DOWN,112.15,0.976,4.67,False,points_serving,,False,False,False,False,False,False,False,False,False,Low,False,True,False,False,False,False,True,True,True,False,1,0,L,85.294,0.0,1.0,False,False,True,3.0,6.0,2.0,42.9,14.0,0.0,0.429,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,8.0,1.0,2.7,0.0,0.0,0.0,4.0,2.0,50.0,0.0,https://www.maxpreps.com/games/09-24-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=XwBzBi0pnUmHClGqHKF48g#tab=box-score&schoolid=
FR_09-27_MCLEAN_1,,,FR,13,mid,2016-09-27,Tuesday,4,3,False,1,1,1,False,,,1,McLean,MCLEAN,1,False,False,False,sick,low,0,,,"25-13,25-12,25-4",3,3-0,3,W,away,False,False,True,False,False,False,False,False,True,False,False,False,75,29,0.442,False,False,False,False,False,True,,,,,,,,,,,,0,0.0,0.0,,0.0,,,False,False,,,,,False,,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,False,False,False,False,2,0,W,50.0,1.0,0.0,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.maxpreps.com/games/09-27-2016/volleyball-16/mclean-vs-model-secondary-school-for-the-deaf.htm?c=ySNeF2UEdk6EgKi-o-mblA
FR_10-04_OAKCREST_1,12.0,early,FR,14,mid,2016-10-04,Tuesday,5,7,False,1,1,1,False,,,1,Oakcrest,OAKCREST,1,False,False,False,regular,low,0,,,"25-23,25-8,25-11",3,3-0,3,W,home,False,False,False,False,False,False,False,False,True,False,False,False,75,42,0.282,False,False,True,True,False,True,933.4,84.5,0.845,311.13,48.0,0.48,462.32,0.0,0.0,94.1,0.941,6,75.0,0.75,SOLID,0.0,2.02,0.0,False,False,UP,116.68,0.989,6.33,False,kills_attacking;points_serving;total_blks_blocking,,False,False,False,False,True,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,3,0,W,,2.0,0.0,False,True,False,3.0,11.0,3.7,50.0,22.0,2.0,0.409,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3,0.0,12.0,0.0,4.0,7.0,4.0,2.3,5.0,1.7,50.0,10.0,1.0,90.0,0.0,https://www.maxpreps.com/games/10-04-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-oakcrest.htm?c=aUV_nOezW0CdAXm48_6bgg#tab=box-score&schoolid=
FR_10-07_MSD_1,13.0,early,FR,15,mid,2016-10-07,Friday,6,3,False,4,1,4,True,True,False,1,Maryland School for the Deaf,MSD,1,False,True,True,regular,low,0,SpikeOut 2016 @ Indiana,,"10-25,17-25",2,0-2,-2,L,neutral,False,False,False,False,False,False,False,False,False,False,True,False,50,27,0.299,False,True,True,True,False,True,160.2,4.5,0.045,80.1,7.3,0.073,462.32,0.0,0.0,14.7,0.147,3,37.5,0.375,QUIET,1.3,0.35,0.0,False,True,DOWN,26.7,0.964,6.0,False,points_serving;total_blks_blocking,,False,False,False,False,False,True,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,0,1,W,94.118,3.0,0.0,True,False,False,2.0,3.0,1.5,15.0,20.0,4.0,-0.05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,2.0,0.0,1.0,10.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,100.0,0.0,https://www.maxpreps.com/games/10-07-2016/volleyball-16/maryland-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=owB3x6209kypjGTlkFpyUg#tab=box-score&schoolid=
FR_10-07_CSDR_2,14.0,early,FR,16,mid,2016-10-07,Friday,6,0,False,4,2,4,True,False,False,1,California School for the Deaf-Riverside,CSDR,1,False,False,True,regular,low,0,SpikeOut 2016 @ Indiana,,"20-25,25-23,15-12",3,2-1,1,W,neutral,False,False,False,True,False,False,False,False,False,False,True,False,60,60,0.0,False,False,True,True,False,True,372.7,26.5,0.265,124.23,15.1,0.151,462.32,0.0,0.0,38.2,0.382,3,37.5,0.375,QUIET,2.6,0.81,0.0,False,True,FLAT,62.12,0.973,5.33,False,points_serving,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,1,0,L,14.706,0.0,1.0,False,False,True,3.0,6.0,2.0,28.6,21.0,3.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,7.0,2.0,2.3,1.0,0.3,8.3,12.0,0.0,100.0,0.0,https://www.maxpreps.com/games/10-07-2016/volleyball-16/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=591mwas5f0WoifVu5uqlog#tab=box-score&schoolid=
FR_10-07_TSD_3,15.0,early,FR,17,mid,2016-10-07,Friday,6,0,False,4,3,4,True,False,False,1,Texas School for the Deaf,TSD,1,False,False,True,regular,low,0,SpikeOut 2016 @ Indiana,,"11-25,16-25",2,0-2,-2,L,neutral,False,False,False,False,False,False,False,False,False,False,True,False,50,27,0.299,False,True,True,True,False,True,167.3,5.3,0.053,83.65,7.9,0.079,462.32,0.0,0.0,20.6,0.206,3,37.5,0.375,QUIET,0.6,0.36,0.0,False,True,FLAT,18.59,0.938,10.0,False,points_serving,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,0,1,W,38.235,1.0,0.0,True,False,False,2.0,2.0,1.0,15.4,13.0,3.0,-0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.5,9.0,3.0,4.5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,https://www.maxpreps.com/games/10-07-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-texas-school-for-the-deaf.htm?c=AZ1n_IF5o0qp55V7f-lMvg#tab=box-score&schoolid=
FR_10-07_CSDF_4,16.0,early,FR,18,mid,2016-10-07,Friday,6,0,False,4,4,4,True,False,True,1,California School for the Deaf,CSDF,1,False,False,True,regular,low,0,SpikeOut 2016 @ Indiana,,"25-21,14-25,9-15",3,1-2,-1,L,neutral,False,False,False,False,False,False,False,False,False,False,True,False,61,48,0.119,False,True,True,True,False,True,226.1,11.3,0.113,75.37,6.4,0.064,462.32,0.0,0.0,29.4,0.294,3,37.5,0.375,QUIET,1.7,0.49,0.0,False,True,FLAT,28.26,0.966,6.0,False,points_serving;total_blks_blocking,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,0,2,L,20.588,0.0,1.0,False,False,True,3.0,3.0,1.0,21.4,14.0,2.0,0.071,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,2.0,0.0,0.7,16.0,4.0,5.3,0.0,0.0,0.0,5.0,1.0,80.0,0.0,https://www.maxpreps.com/games/10-07-2016/volleyball-16/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=2GJMycrpkUGekllexQB5WQ#tab=box-score&schoolid=
FR_10-08_ISD_1,17.0,early,FR,21,mid,2016-10-08,Saturday,6,0,False,7,1,3,True,True,False,1,Indiana School for the Deaf,ISD,1,False,False,True,regular,low,0,SpikeOut 2016 @ Indiana,,"14-25,14-25",2,0-2,-2,L,neutral,False,False,False,False,False,False,False,False,False,False,True,False,50,28,0.282,False,True,True,True,False,True,161.8,4.7,0.047,80.9,7.4,0.074,462.32,0.0,0.0,17.6,0.176,3,37.5,0.375,QUIET,0.6,0.35,0.0,False,True,DOWN,23.11,0.97,6.5,False,points_serving,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,0,3,L,29.412,0.0,2.0,True,False,False,2.0,2.0,1.0,15.4,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,10.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,100.0,0.0,https://www.maxpreps.com/games/10-08-2016/volleyball-16/indiana-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=wj2y6CuesEukVstn_5dczA#tab=box-score&schoolid=
FR_10-08_CSDF_2,18.0,early,FR,20,mid,2016-10-08,Saturday,6,0,False,7,2,3,True,False,False,1,California School for the Deaf,CSDF,2,True,False,True,regular,low,0,SpikeOut 2016 @ Indiana,,"18-25,20-25",2,0-2,-2,L,neutral,False,False,False,False,False,False,False,False,False,False,True,False,50,38,0.136,False,True,True,True,False,True,504.4,40.1,0.401,252.2,37.6,0.376,462.32,0.0,0.0,58.8,0.588,3,37.5,0.375,QUIET,0.6,1.09,0.0,False,False,UP,168.13,0.966,10.5,False,points_serving;total_blks_blocking,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,True,0,4,L,17.647,0.0,3.0,True,False,False,2.0,9.0,4.5,47.4,19.0,1.0,0.421,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,7.0,0.0,3.5,14.0,1.0,7.0,0.0,0.0,0.0,7.0,0.0,100.0,0.0,https://www.maxpreps.com/games/10-08-2016/volleyball-16/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=fuAmSgfRsUuIfu9RrW5Euw#tab=box-score&schoolid=
FR_10-08_CSDR_3,19.0,early,FR,19,mid,2016-10-08,Saturday,6,1,True,7,3,3,True,False,True,1,California School for the Deaf-Riverside,CSDR,2,True,False,True,regular,low,0,SpikeOut 2016 @ Indiana,,"27-25,17-25,9-15",3,1-2,-1,L,neutral,False,False,False,False,False,False,False,False,False,False,True,False,65,53,0.102,False,True,True,True,False,True,195.7,8.2,0.082,65.23,4.7,0.047,462.32,0.0,0.0,23.5,0.235,3,37.5,0.375,QUIET,1.7,0.42,0.0,False,True,FLAT,27.96,0.961,5.0,False,points_serving,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,0,5,L,58.824,0.0,4.0,False,False,True,3.0,4.0,1.3,18.2,22.0,3.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.7,7.0,3.0,2.3,0.0,0.0,0.0,3.0,0.0,100.0,0.0,https://www.maxpreps.com/games/10-08-2016/volleyball-16/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=EOTlFc410ESAEZ792PdFiA#tab=box-score&schoolid=
FR_10-11_RB_1,20.0,early,FR,22,mid,2016-10-11,Tuesday,6,3,False,1,1,1,False,,,1,Riverdale Baptist,RB,2,True,False,False,regular,low,0,,,"25-15,25-11,25-12",3,3-0,3,W,home,False,False,False,False,False,False,False,False,False,False,False,False,75,38,0.327,False,False,True,True,False,True,154.1,3.9,0.039,51.37,2.2,0.022,462.32,0.0,0.0,11.8,0.118,3,37.5,0.375,QUIET,0.0,0.33,0.0,False,True,DOWN,25.68,0.883,8.67,False,points_serving,,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,False,False,True,True,True,False,1,0,L,23.529,0.0,5.0,False,True,False,3.0,2.0,0.7,13.3,15.0,1.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.7,15.0,3.0,5.0,0.0,0.0,0.0,5.0,1.0,80.0,0.0,https://www.maxpreps.com/games/10-11-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=LTfs0953zkmtl3g-YTlQmw#tab=box-score&schoolid=
